first_kill,time,first_death,spike_plant,defuse,fb_team,fb_players,dt_players,team_buy,oppo_buy,total_kills,total_deaths,awps_info,side,round_win
Reyna,0:04,Jett,A,False,opponent,Sama 70,tam0w,600,800,5,2,none,Attack,win
Sage,0:05,Omen,B,False,team,,ZeUS,"3,600",900,5,1,none,Attack,win
Gekko,0:08,Raze,A,False,team,,KinGG,"3,500","3,600",5,3,none,Attack,win
Jett,0:03,Reyna,False,False,team,,Sama 70,"4,500","2,300",2,5,none,Attack,loss
Reyna,0:05,Jett,False,False,opponent,Sama 70,tam0w,"4,400","4,800",4,5,none,Attack,loss
Reyna,0:22,Raze,B,True,opponent,Sama 70,PsychoXClown,"2,400","4,800",4,5,opponent,Attack,loss
Killjoy,0:16,Gekko,A,False,opponent,MiCkeY,Winter Is Coming,"4,500","4,300",4,5,none,Attack,win
Raze,0:13,Raze,False,True,opponent,KinGG,PsychoXClown,"4,200","3,600",1,5,none,Attack,loss
Gekko,0:14,Reyna,False,False,team,,Sama 70,800,"4,900",2,5,none,Attack,loss
Jett,0:05,Reyna,False,False,team,,Sama 70,"4,400","5,200",5,3,opponent,Attack,win
Omen,0:13,Gekko,A,False,opponent,ZeUS,Winter Is Coming,"4,400","4,500",5,3,none,Attack,win
Gekko,0:05,Reyna,False,False,team,,Sama 70,"4,500","3,700",5,3,none,Attack,win
Killjoy,0:02,Jett,B,False,opponent,MiCkeY,tam0w,600,800,2,5,none,Defense,loss
Raze,0:07,Jett,B,False,opponent,KinGG,tam0w,500,"3,200",2,5,none,Defense,loss
Omen,0.36,Raze,False,False,team,ZeUS,KinGG,"4,000","3,500",5,3,none,Defense,win
Sage,0.06,Raze,False,False,team,,KinGG,"3,700","4,500",5,3,none,Defense,win
Omen,0:08,Reyna,B,False,team,ZeUS,Sama 70,"4,100",600,2,5,none,Defense,loss
Raze,0:04,Raze,False,False,opponent,KinGG,PsychoXClown,"3,800","5,100",5,4,none,Defense,win
Jett,0:03,Killjoy,False,False,team,,MiCkeY,"4,100","3,600",5,1,none,Defense,win
Reyna,0:16,Raze,B,False,opponent,Sama 70,PsychoXClown,"4,900","3,600",4,5,team,Defense,loss
Raze,0:04,Sage,B,False,opponent,KinGG,NEROO,"4,300","4,100",3,5,none,Defense,loss
Raze,0:04,Raze,A,False,opponent,KinGG,PsychoXClown,"1,800","4,400",0,5,none,Defense,loss
Sage,0:40,Killjoy,False,False,team,,MiCkeY,"4,500","4,600",5,0,none,Defense,win
Jett,0:12,Reyna,False,False,team,,Sama 70,"4,700","4,600",5,3,none,Defense,win
